range,col 8in,col 10in,dahlgren 8in,dahlgren 9in,dahlgren 11in,ho 6.4in,ho 8in,ho 12pdr,ho 24pdr,ho 12pdr mountain,james 6pdr,james 12pdr,james 14pdr,parrott 10pdr,parrott 20pdr,parrott 30pdr,parrott 100pdr,parrott 200pdr,rifled 6pdr,rifled 18pdr,rifled 24pdr,rifled 32pdr,rifled 42pdr,rifled 2.25in mtn,rifled 3in,rifled 3in naval,rifled 3.67in sawyer,rifled 4.5in,rifled 6.5in,rifled blakely,rifled brooke,rifled whitworth,sb 6pdr,sb 24pdr,sb 32pdr,sb 42pdr,sb 6pdr wiard,sb 12pdr wiard,sb napoleon,siege 24pdr
16,3,24,0.5,10,,,,,,,,1,,1,0.75,1,16,10,0.5,2,,5,1,,0.5,,0.5,1,,,2,3,,,2,1,,,,
17,3,24,0.5,10,,,,,,,,1,,0.5,0.75,1,16,8,,2,,3,,,0.5,,,1,,,2,3,,,,,,,,
18,2,20,0.5,10,,,,,,,,0.5,,0.5,0.75,1,13,8,,2,,,,,0.25,,,1,,,1,3,,,,,,,,
19,2,20,0.5,10,,,,,,,,,,0.5,0.75,1,13,8,,2,,,,,,,,1,,,1,2,,,,,,,,
20,1,16,0.5,10,,,,,,,,,,0.5,0.75,1,11,8,,1,,,,,,,,1,,,1,2,,,,,,,,
21,1,16,0.25,7,,,,,,,,,,0.25,0.5,0.5,11,8,,1,,,,,,,,0.5,,,1,2,,,,,,,,
22,1,12,,7,,,,,,,,,,,,0.5,9,5,,0.5,,,,,,,,,,,1,1,,,,,,,,
23,1,12,,7,,,,,,,,,,,,0.5,9,5,,,,,,,,,,,,,1,1,,,,,,,,
24,1,8,,4,,,,,,,,,,,,0.5,6,5,,,,,,,,,,,,,0.5,1,,,,,,,,
25,1,8,,2,,,,,,,,,,,,0.5,6,4,,,,,,,,,,,,,,1,,,,,,,,
26,1,4,,2,,,,,,,,,,,,0.5,4,4,,,,,,,,,,,,,,1,,,,,,,,
27,1,2,,2,,,,,,,,,,,,0.25,4,4,,,,,,,,,,,,,,1,,,,,,,,
28,1,1,,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,,,,,,
29,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,
30,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
31,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
32,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
33,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
34,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.5,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
